Patient ID,Mean_Wgt_over_6 mts_kg,VenomSex,Neutered,Rabbit_Breed,AgeAtDeath_years,Abscess - eyelid,Abscess - limb,Abscess - mouth,Abscess - retrobulbar,Accidental injury,Adverse reaction to drug,Anorexia,Arthritis,Ataxia,Behaviour abnormal,Behavioural - lethargy,Behavioural - overgrooming,Behavioural - unusual toileting,Bite injury,Cataract,Chalazion (meibomian cyst),Chronic kidney disease,Claw/nail injury,Claw/nails overlong,Conjunctivitis,Corneal ulcer,Dental disease,Dental disease - malocclusion,Dental injury,Diarrhoea,Dyspnoea,Epiphora/tear staining,Eye proptosed,Faecal appearance abnormal,Fetal death/abortion,Gastrointestinal obstruction,Haircoat disorder - dry skin,Haircoat disorder - matted fur,Head tilt,Hepatomegaly,Hermaphroditism,Hypothermia,Ileus,Incontinence - urinary,Lameness,Lower respiratory tract disorder,Mass - abdomen,Mass - cranium,Mass - ear,Mass - face,Mass - intestinal,Mass - limb,Mass - mammary,Mass - mandible,Mass - neck,Mass - oral,Mass - testicle,Mass - third eyelid/nictitating membrane,Mass - thoracic,Mass - vulva,Nasolacrimal duct abnormality - dacryocystitis,Neoplasia - benign,Neoplasia - thymoma,Ocular discharge,Oral  ulceration,Osteomyelitis,Otitis externa,Overgrown incisor(s),Overgrown molar(s),Overweight / obesity,Parasite infestation,Parasite infestation - cheyletiellosis,Parasite infestation - coccidiosis,Parasite infestation - ear mites (Psoroptes cuniculi),Parasite infestation - encephalitozoon cuniculi,Parasite infestation - gastrointestinal helminths,Parasite infestation - Mites,Parasite infestation - myiasis (flystrike),Pericardial effusion,Perineal soiling,Pneumonia,Pododermatitis,Post-operative complication - self-trauma,Post-operative complication - wound infection,Post-operative complication related to anaesthesia,Pyometra,Recumbency/collapsed,Respiratory disorder,Respiratory tract infection,Rhinitis,Seizure disorder,Skin disorder -  alopecia,Skin disorder - dermatitis,Skin disorder - urune scald,Spinal nerve injury,Underweight / weight loss,Upper respiratory tract disorder,Urinary bladder - atony,Urination abnormal,Urine abnormality,Weakness,Wound injury
6,,Unknown,Unknown,Breed_Not_recorded,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4.15,Male,Unknown,Cashmere Lop,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,,Male,Unknown,Lionhead,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2.83,Female,Unknown,French Lop,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1.06,Male,Neutered,Netherland Dwarf,8.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2.46,Male,Unknown,Breed_Not_recorded,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1.97,Male,Entire,Breed_Not_recorded,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2.64,Female,Unknown,Breed_Not_recorded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3.2,Female,Entire,British Giant,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,,Female,Entire,Breed_Not_recorded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
